Name,location,distance(km),location_score,check_in_day,check_in_week,score,price
소피텔 로스 앤젤레스 앳 비벌리 힐스 호텔 (Sofitel Los Angeles at Beverly Hills Hotel),"웨스트 할리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.3,419405
레닥 게이트웨이 호텔 인 토랜스 (Redac Gateway Hotel in Torrance),"토런스, 로스앤젤레스 (CA) ",22.0,7,2023-09-01,금,8.1,189547
힐튼 로스앤젤레스 에어포트 (Hilton Los Angeles Airport),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",13.1,7,2023-09-01,금,7.8,450719
Orange Drive Hostel - Adults Only,"헐리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.7,49089
Luskin Hotel,"웨스트우드, 로스앤젤레스 (CA) ",5.2,7,2023-09-01,금,9.4,384782
E 센트럴 호텔 다운타운 로스앤젤레스 (E Central Hotel Downtown Los Angeles),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.6,328815
"SLS Hotel, a Luxury Collection Hotel, Beverly Hills","비벌리 힐스, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.2,451425
쉐라톤 게이트웨이 로스앤젤레스 호텔 (Sheraton Gateway Los Angeles Hotel),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",13.2,7,2023-09-01,금,8.0,409394
Redondo Beach Inn - Adults Only,"토런스, 로스앤젤레스 (CA) ",17.0,7,2023-09-01,금,7.4,409394
라마다 바이 윈덤 로스앤젤레스/윌셔 센터 (Ramada by Wyndham Los Angeles/Wilshire Center),"코리아타운, 로스앤젤레스 (CA) ",0.03,7,2023-09-01,금,7.2,230304
힐튼 아나헤임 (Hilton Anaheim Hotel),"애너하임, 로스앤젤레스 (CA) ",40.3,7,2023-09-01,금,8.0,233575
더 웨스틴 로스앤젤레스 공항 (The Westin Los Angeles Airport),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",13.1,7,2023-09-01,금,8.0,500513
Anaheim Majestic Garden Hotel,"애너하임, 로스앤젤레스 (CA) ",38.7,7,2023-09-01,금,8.4,190675
"tommie Hollywood, part of Jdv by Hyatt","헐리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.2,295175
더 할리우드 루즈벨트 (The Hollywood Roosevelt),"헐리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.6,358894
더 웨스틴 보나벤처 호텔 앤 스위트 (The Westin Bonaventure Hotel and Suites),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.4,363835
더블트리 바이 힐튼 로스엔젤레스 다운타운 호텔 (Doubletree by Hilton Los Angeles Downtown Hotel),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,7.6,339239
가와다 (Kawada Hotel),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.4,7,2023-09-01,금,7.5,216394
소네스타 실렉트 로스앤젤레스 LAX 엘 세군도 (Sonesta Select Los Angeles LAX El Segundo),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",15.8,7,2023-09-01,금,7.9,267826
뉴 서울 호텔 (New Seoul Hotel),"코리아타운, 로스앤젤레스 (CA) ",0.04,7,2023-09-01,금,8.5,236525
베스트웨스턴 플러스 선셋 플라자 호텔 (Best Western Plus Sunset Plaza Hotel),"웨스트 할리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.2,447895
애너하임 호텔 (Anaheim Hotel),"애너하임, 로스앤젤레스 (CA) ",40.1,7,2023-09-01,금,8.4,224368
홀리데이 인 로스앤젤레스 - LAX 에어포트 (Holiday Inn Los Angeles - LAX Airport),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",13.0,7,2023-09-01,금,7.6,346253
Hotel Koxie,"코리아타운, 로스앤젤레스 (CA) ",0.3,7,2023-09-01,금,7.3,170489
미야코 하이브리드 호텔 (Miyako Hybrid Hotel),"토런스, 로스앤젤레스 (CA) ",22.7,7,2023-09-01,금,8.7,298985
라마다 플라자 바이 윈덤 웨스트 할리우드 호텔 앤 스위트 (Ramada Plaza by Wyndham West Hollywood Hotel & Suites),"웨스트 할리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,7.2,341187
호텔 노르망디 로스앤젤레스 (Hotel Normandie Los Angeles),"코리아타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.1,254783
하워드 존슨 바이 윈덤 애너하임 호텔 앤 워터 플레이그라운드 (Howard Johnson by Wyndham Anaheim Hotel & Water Playground),"애너하임, 로스앤젤레스 (CA) ",39.7,7,2023-09-01,금,8.8,451425
에이스 호텔 다운타운 로스앤젤레스 (Ace Hotel Downtown Los Angeles),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.1,466066
힐튼 산타 모니카 호텔 앤 스위트 (Hilton Santa Monica Hotel & Suites),"산타 모니카, 로스앤젤레스 (CA) ",11.1,7,2023-09-01,금,8.1,516907
쉘터 호텔 (Shelter Hotel),"코리아타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.2,218010
로스앤젤레스 에어포트 메리어트 (Los Angeles Airport Marriott),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",13.2,7,2023-09-01,금,8.1,512064
수 카사 앳 베니스 비치 (Su Casa at Venice Beach),"베니스 비치, 로스앤젤레스 (CA) ",11.6,7,2023-09-01,금,8.8,299999
할리우드 셀레브리티 호텔 (Hollywood Celebrity Hotel),"헐리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.8,298611
더 가드프리 호텔 할리우드 (The Godfrey Hotel Hollywood),"헐리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.2,310883
윌셔 크레스트 호텔 (Wilshire Crest Hotel),"웨스트 할리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.2,310883
포 포인츠 바이 쉐라톤 로스앤젤레스 웨스트사이드 (Four Points by Sheraton Los Angeles Westside),"컬버 시티, 로스앤젤레스 (CA) ",9.2,7,2023-09-01,금,8.1,282187
Sheraton Park Hotel at the Anaheim Resort,"애너하임, 로스앤젤레스 (CA) ",40.4,7,2023-09-01,금,8.3,229851
패서디나 호텔 앤 풀 (Pasadena Hotel & Pool),"파사데나, 로스앤젤레스 (CA) ",14.2,7,2023-09-01,금,8.6,216671
데이즈 인 바이 윈덤 로스앤젤레스 LAX/ 레돈도&맨해튼비치 (Days Inn by Wyndham Los Angeles LAX/ Redondo&ManhattanBeach),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",18.2,7,2023-09-01,금,8.0,192783
Rumi hostel - Adults Only,"코리아타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.2,38774
"호텔 룰루 BW 프리미어 컬렉션 (Hotel Lulu, BW Premier Collection)","애너하임, 로스앤젤레스 (CA) ",40.4,7,2023-09-01,금,8.5,227990
힐튼 로스앤젤레스/유니버설 시티 (Hilton Los Angeles/Universal City),"유니버셜 시티, 로스앤젤레스 (CA) ",2.9,7,2023-09-01,금,8.3,366237
O Hotel by LuxUrban,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.0,399999
Samesun Venice Beach,"베니스 비치, 로스앤젤레스 (CA) ",11.7,7,2023-09-01,금,8.2,60065
더 퍼시픽 인 (The Pacific Inn),"롱비치, 로스앤젤레스 (CA) ",35.4,7,2023-09-01,금,9.1,60065
Travelodge by Wyndham LAX,"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",15.3,7,2023-09-01,금,7.4,279170
굿 나이트 인 부에나 파크 (Good Nite Inn Buena Park ),"부에나 파크, 로스앤젤레스 (CA) ",29.7,7,2023-09-01,금,8.0,144203
Wingate by Wyndham Los Angeles International Airport,"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",13.3,7,2023-09-01,금,6.4,302646
HI 로스앤젤레스 - 산타 모니카 호스텔 (HI Los Angeles - Santa Monica Hostel),"산타 모니카, 로스앤젤레스 (CA) ",11.4,7,2023-09-01,금,8.8,98819
할리우드 시티 인 (Hollywood City Inn),"헐리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,7.8,187259
8th and Ardmore,"코리아타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.2,34708
코트야드 로스앤젤레스 파사데나/몬로비아 (Courtyard Los Angeles Pasadena/Monrovia),"파사데나, 로스앤젤레스 (CA) ",23.0,7,2023-09-01,금,8.1,230416
엘란 호텔 (Elan Hotel),"웨스트 할리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.7,348049
애너하임 메리어트 (Anaheim Marriott),"애너하임, 로스앤젤레스 (CA) ",40.3,7,2023-09-01,금,8.7,305441
알암브라 호텔 (Alhambra Hotel),"이스트 로스앤젤레스, 로스앤젤레스 (CA) ",9.3,7,2023-09-01,금,8.4,305441
쇼트 스토리 호텔 (Short Stories Hotel),"웨스트 할리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.6,379202
미카도 호텔 (Mikado Hotel),"버뱅크, 로스앤젤레스 (CA) ",7.3,7,2023-09-01,금,7.8,168819
게이트웨이 호텔 산타 모니카 (Gateway Hotel Santa Monica),"산타 모니카, 로스앤젤레스 (CA) ",9.4,7,2023-09-01,금,8.3,311506
베스트웨스턴 플러스 LA 미드-타운 호텔 (Best Western Plus LA Mid-Town Hotel),"코리아타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,7.9,255390
라마다 바이 윈덤 로스앤젤레스/다운타운 웨스트 (Ramada by Wyndham Los Angeles/Downtown West),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,6.9,223389
Conrad Los Angeles,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,9.0,518160
슈퍼 8 바이 윈덤 애너하임 - 디즈니랜드 드라이브 (Super 8 By Wyndham Anaheim - Disneyland Drive),"애너하임, 로스앤젤레스 (CA) ",38.6,7,2023-09-01,금,7.6,161588
Aloft El Segundo - Los Angeles Airport,"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",15.9,7,2023-09-01,금,8.5,354209
힐튼 체커스 로스앤젤레스 호텔 (Hilton Checkers Los Angeles Hotel),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,7.9,455999
할리우드 호텔 - 더 호텔 오브 할리우드 니어 유니버설 스튜디오 (Hollywood Hotel - The Hotel of Hollywood Near Universal Studios),"헐리우드, 로스앤젤레스 (CA) ",0.2,7,2023-09-01,금,7.3,224769
Omni Los Angeles at California Plaza,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.6,535934
더 딕시 할리우드 호텔 (The Dixie Hollywood Hotel),"헐리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,7.6,248499
Four Points by Sheraton Anaheim,"애너하임, 로스앤젤레스 (CA) ",39.1,7,2023-09-01,금,7.7,195072
비포시텔 애너하임 (Bposhtels Anaheim),"애너하임, 로스앤젤레스 (CA) ",41.2,7,2023-09-01,금,7.9,41654
더 호텔 할리우드 (The Hotel Hollywood),"헐리우드, 로스앤젤레스 (CA) ",,7,2023-09-01,금,7.8,184504
호텔 델 플로레스 (Hotel del Flores),"비벌리 힐스, 로스앤젤레스 (CA) ",0.9,7,2023-09-01,금,6.1,151630
힐튼 패서디나 호텔 (Hilton Pasadena Hotel),"파사데나, 로스앤젤레스 (CA) ",13.3,7,2023-09-01,금,8.3,523049
"The Wayfarer Downtown LA, Tapestry Collection by Hilton","로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,7.8,523049
코르토나 인 & 스위트 애너하임 리조트 (Cortona Inn and Suites Anaheim Resort),"애너하임, 로스앤젤레스 (CA) ",40.6,7,2023-09-01,금,7.9,172712
하얏트 리젠시 오렌지 카운티 (Hyatt Regency Orange County),"애너하임, 로스앤젤레스 (CA) ",41.4,7,2023-09-01,금,8.6,276052
윈덤 애너하임 (Wyndham Anaheim),"애너하임, 로스앤젤레스 (CA) ",40.4,7,2023-09-01,금,8.9,293378
안다즈 웨스트 할리우드 (Andaz West Hollywood),"웨스트 할리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.7,503080
할리우드 인 스위트 호텔 (Hollywood Inn Suites Hotel),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",13.6,7,2023-09-01,금,7.9,207906
시티 센터 호텔 로스엔젤레스 (City Center Hotel Los Angeles),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,5.9,123478
마마 쉘터 로스앤젤레스 (Mama Shelter Los Angeles),"헐리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,9.0,252965
호돈 플라자 인 LAX (Hawthorne Plaza Inn Near LAX),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",14.8,7,2023-09-01,금,7.9,151740
오션 파크 호텔 (Ocean Park Hotel),"산타 모니카, 로스앤젤레스 (CA) ",,7,2023-09-01,금,7.6,176812
JW 메리어트 로스앤젤레스 L.A. 라이브 (JW Marriott Los Angeles L.A. LIVE),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.8,176812
알라모 인 앤드 스위트 - 컨벤션 센터 (Alamo Inn and Suites - Convention Center),"애너하임, 로스앤젤레스 (CA) ",39.6,7,2023-09-01,금,8.6,193853
Petit Ermitage Hotel - Adults Only,"웨스트 할리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.6,310958
듄스 인 윌셔 - 성인 전용 (Dunes Inn Wilshire),"코리아타운, 로스앤젤레스 (CA) ",0.04,7,2023-09-01,금,7.9,218247
홀리데이 인 익스프레스 로스앤젤레스 LAX 에어포트 (Holiday Inn Express Los Angeles LAX Airport),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",11.7,7,2023-09-01,금,8.5,422228
메종 140 (Maison 140),"비벌리 힐스, 로스앤젤레스 (CA) ",1.9,7,2023-09-01,금,7.2,262238
라마다 바이 윈덤 토런스 (Ramada by Wyndham Torrance),"토런스, 로스앤젤레스 (CA) ",27.6,7,2023-09-01,금,7.3,169793
Solara Inn and Suites,"애너하임, 로스앤젤레스 (CA) ",39.0,7,2023-09-01,금,7.4,139929
레지던스 인 로스앤젤레스 L.A. 라이브 (Residence Inn Los Angeles L.A. LIVE),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.5,807238
Skyways Hotel,"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",12.4,7,2023-09-01,금,7.0,178388
소네스타 레돈도 비치 앤 마리나 (Sonesta Redondo Beach & Marina),"비치 시티스, 로스앤젤레스 (CA) ",24.1,7,2023-09-01,금,8.2,178388
Sheraton Los Angeles San Gabriel,"이스트 로스앤젤레스, 로스앤젤레스 (CA) ",13.6,7,2023-09-01,금,8.6,229723
파크 플라자 로지 호텔 (Park Plaza Lodge Hotel),"웨스트 할리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.7,378593
"Hotel Figueroa, In The Unbound Collection By Hyatt","로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.9,411114
Alsace LA,"웨스트 할리우드, 로스앤젤레스 (CA) ",3.3,7,2023-09-01,금,8.7,364884
로얄 팰리스 웨스트우드 호텔 (Royal Palace Westwood Hotel),"웨스트우드, 로스앤젤레스 (CA) ",5.0,7,2023-09-01,금,8.3,312228
클라리온 호텔 애너하임 리조트 (Clarion Hotel Anaheim Resort),"애너하임, 로스앤젤레스 (CA) ",40.5,7,2023-09-01,금,7.5,184352
데이즈 인 바이 윈덤 부에나 파크 (Days Inn by Wyndham Buena Park),"부에나 파크, 로스앤젤레스 (CA) ",30.6,7,2023-09-01,금,7.0,148596
Doubletree by Hilton Buena Park,"부에나 파크, 로스앤젤레스 (CA) ",30.7,7,2023-09-01,금,8.1,215573
베스트웨스턴 플러스 스위트 호텔 - 로스 앤젤레스 LAX 에어포트 (Best Western Plus Suites Hotel- Los Angeles LAX Airport),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",13.0,7,2023-09-01,금,8.0,403593
LAX Stadium Inn,"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",14.1,7,2023-09-01,금,7.5,403593
드림 할리우드 (Dream Hollywood),"헐리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.3,337045
힐튼 로스앤젤레스 컬버 시티 (Hilton Los Angeles Culver City),"컬버 시티, 로스앤젤레스 (CA) ",9.3,7,2023-09-01,금,7.9,317612
슈퍼 8 바이 윈덤 헐리우드/La 에어리아 (Super 8 By Wyndham Hollywood/La Area),"헐리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,6.4,162539
Sonesta Anaheim Resort Area,"애너하임, 로스앤젤레스 (CA) ",41.6,7,2023-09-01,금,8.1,195264
페어필드 인 앤 스위트 로스앤젤레스 LAX/엘 세군도 (Fairfield Inn & Suites Los Angeles LAX/El Segundo),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",15.9,7,2023-09-01,금,8.1,281058
모텔 6 로스앤젤레스 LAX (Motel 6 Los Angeles LAX),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",13.0,7,2023-09-01,금,7.3,229658
더 커머스 카지노 앤 호텔 (The Commerce Casino & Hotel),"이스트 로스앤젤레스, 로스앤젤레스 (CA) ",10.2,7,2023-09-01,금,7.7,192354
Moxy Downtown Los Angeles,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.2,396561
컴포트 인 코카투 니어 로스앤젤레스 에어포트 (Comfort Inn Cockatoo Near LAX Airport),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",14.1,7,2023-09-01,금,7.9,195264
나이트 인 앳 유니버설 시티 (Nite Inn at Universal City),"유니버셜 시티, 로스앤젤레스 (CA) ",3.2,7,2023-09-01,금,8.1,299999
1 호텔 웨스트 할리우드 (1 Hotel West Hollywood),"웨스트 할리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.7,636976
비벌리 로렐 모터 호텔 (Beverly Laurel Motor Hotel),"웨스트 할리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.2,299999
쉐라톤 유니버셜 호텔 (Sheraton Universal Hotel),"유니버셜 시티, 로스앤젤레스 (CA) ",2.9,7,2023-09-01,금,8.3,370893
Pendry West Hollywood,"웨스트 할리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,9.0,543004
할리우드 인 익스프레스 LAX (Hollywood Inn Express LAX),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",12.5,7,2023-09-01,금,8.2,262031
The Delphi,"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.0,320257
트래블로지 인 앤 스위트 바이 윈덤 애너하임 온 디즈니랜드 드라이브 (Travelodge Inn & Suites by Wyndham Anaheim on Disneyland Dr),"애너하임, 로스앤젤레스 (CA) ",38.6,7,2023-09-01,금,8.2,184805
힐튼 로스앤젤레스 샌가브리엘 호텔 (Hilton Los Angeles San Gabriel Hotel),"이스트 로스앤젤레스, 로스앤젤레스 (CA) ",13.1,7,2023-09-01,금,8.1,248392
베본셔 로지 모텔 (Bevonshire Lodge Motel),"웨스트 할리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,7.4,248392
라마다 바이 윈덤 애너하임 컨벤션 센터 (Ramada by Wyndham Anaheim Convention Center),"애너하임, 로스앤젤레스 (CA) ",40.9,7,2023-09-01,금,7.7,213039
"The Viv Hotel, Anaheim, a Tribute Portfolio Hotel","애너하임, 로스앤젤레스 (CA) ",40.5,7,2023-09-01,금,9.0,281058
La Quinta Inn & Suites by Wyndham Buena Park,"부에나 파크, 로스앤젤레스 (CA) ",28.2,7,2023-09-01,금,7.8,221710
더블트리 호텔 몬로비아 파사데나 에어리어 (Doubletree Hotel Monrovia Pasadena Area),"파사데나, 로스앤젤레스 (CA) ",22.7,7,2023-09-01,금,8.5,191427
글렌데일 익스프레스 호텔 (Glendale Express Hotel),"글렌데일, 로스앤젤레스 (CA) ",6.5,7,2023-09-01,금,7.7,199999
알파인 인 니어 컨벤션 센터 앤 더 파크 (Alpine Inn near Convention Center and the Park),"애너하임, 로스앤젤레스 (CA) ",40.1,7,2023-09-01,금,8.9,230057
플라자 라 레이나 (Plaza la Reina),"웨스트우드, 로스앤젤레스 (CA) ",4.9,7,2023-09-01,금,8.9,354902
모자이크 호텔 (Mosaic Hotel),"비벌리 힐스, 로스앤젤레스 (CA) ",1.8,7,2023-09-01,금,8.8,340952
쇼어 호텔 (Shore Hotel),"산타 모니카, 로스앤젤레스 (CA) ",11.5,7,2023-09-01,금,8.7,619575
힐튼 가든 인 LAX - 엘세군도 호텔 (Hilton Garden Inn LAX - El Segundo Hotel),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",15.7,7,2023-09-01,금,8.2,619575
"Hotel Fera Anaheim, a DoubleTree by Hilton","애너하임, 로스앤젤레스 (CA) ",43.0,7,2023-09-01,금,7.8,196456
Hotel Ziggy Los Angeles,"웨스트 할리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.2,289317
MyStayLA,"코리아타운, 로스앤젤레스 (CA) ",1.8,7,2023-09-01,금,8.3,54042
르 본 호텔 헐리우드 (Le Bon Hotel Hollywood),"헐리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,6.9,193896
햄튼 인 앤 스위트 산타 모니카 (Hampton Inn & Suites Santa Monica),"산타 모니카, 로스앤젤레스 (CA) ",11.0,7,2023-09-01,금,7.7,423319
The Adler a Hollywood Hotel,"헐리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.8,370880
Disney's Paradise Pier Hotel,"애너하임, 로스앤젤레스 (CA) ",39.5,7,2023-09-01,금,8.8,680383
굿 나이트 인 칼라바사스 (Good Nite Inn Calabasas),"카노가 공원, 로스앤젤레스 (CA) ",29.5,7,2023-09-01,금,8.4,144379
"The Langham Huntington, Pasadena","파사데나, 로스앤젤레스 (CA) ",12.6,7,2023-09-01,금,8.9,370893
제네바 모텔 (Geneva Motel),"로스앤젤레스 국제공항 (LAX), 로스앤젤레스 (CA) ",11.1,7,2023-09-01,금,8.2,370893
호텔 브랜드우드 (Hotel Brandwood),"글렌데일, 로스앤젤레스 (CA) ",6.6,7,2023-09-01,금,8.1,166932
Motel Sakura - Adults Only,"글렌데일, 로스앤젤레스 (CA) ",7.2,7,2023-09-01,금,9.4,188034
힐튼 롱 비치 (Hilton Long Beach),"롱비치, 로스앤젤레스 (CA) ",30.3,7,2023-09-01,금,8.1,280889
버벌리 인 호텔 (Beverly Inn),"웨스트 할리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,6.6,125031
아메리칸 호텔 (American Hotel),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",,7,2023-09-01,금,7.9,162210
팔리호텔 멜로즈 (Palihotel Melrose),"웨스트 할리우드, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,7.8,317354
더 혹스턴 다운타운 LA (The Hoxton Downtown LA),"로스엔젤레스 다운타운, 로스앤젤레스 (CA) ",0.0,7,2023-09-01,금,8.6,333676
